geo_code,geo_name,country,latitude,longitude,segment_id,segment_label,overall_opportunity_score,opportunity_rank,opportunity_percentile,market_size_score,segment_priority_score,recommended_attraction_alignment_score,segment_category_fit_score,recommended_attraction_focus,recommended_attraction_name,recommended_attraction_brand,recommended_attraction_category,recommended_attraction_distance_miles,nearest_merlin_attraction,nearest_merlin_brand,nearest_merlin_category,nearest_merlin_distance_miles,recommended_product_focus,recommended_commercial_play,commercial_play_rationale,recommended_activation,annual_pass_repeat_visit_flag,cluster_marketing_flag,short_break_opportunity_flag,merlin_attractions_within_30_miles,merlin_attraction_cluster_names_30_miles,illustrative_revenue_opportunity_1pct_gbp,revenue_per_visitor_assumption_gbp,penetration_rate_assumption,key_contributing_driver,assumptions_flag,total_population,children_count_0_14,young_adult_count_15_24,core_family_adult_count_25_44,midlife_adult_count_45_64,older_adult_count_65_plus,total_households,households_with_dependent_children,households_deprived,households_not_deprived,households_no_car_or_van,households_with_car_or_van,residents_social_grade_ab_c1,children_share_0_14,young_adult_share_15_24,core_family_adult_share_25_44,midlife_adult_share_45_64,older_adult_share_65_plus,family_household_share,deprived_household_share,not_deprived_household_share,car_access_household_share,population_density_per_sq_km,ab_c1_social_grade_share
E02003353,Bracknell Forest 002,England,51.43602,-0.76302,4,Mainstream Affluent Suburban Markets,97.7,1,1.0,0.9647577092511013,1.0,0.9707563367802396,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,5.1,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,5.1,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3899,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12092,2301,1039,3912,3142,1698,4936,1660,1644,3292,294,4642,7803,0.1902911015547469,0.0859245782335428,0.3235196824346675,0.2598412173337744,0.1404234204432682,0.33630470016207453,0.33306320907617504,0.666936790923825,0.9404376012965964,576.6,0.7734165923282783
E02000601,Kingston upon Thames 004,England,51.41714,-0.29844,4,Mainstream Affluent Suburban Markets,97.6,2,0.999862315847446,0.9610407488986784,1.0,0.9722867714156528,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,4.8,Chessington World of Adventures Resort,Chessington,Family Theme Park,4.8,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3835,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11906,2533,1220,3865,3056,1232,4857,1788,1871,2987,1604,3256,8425,0.2127498740131026,0.1024693431883084,0.3246262388711574,0.2566773055602217,0.1034772383672098,0.36812847436689317,0.3852172122709491,0.6147827877290508,0.6699588477366255,11112.8,0.801770079939094
E02006837,Epsom and Ewell 010,England,51.34441,-0.23804,4,Mainstream Affluent Suburban Markets,97.6,3,0.9997246316948919,0.9556718061674009,1.0,0.9790671369609509,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,3.6,Chessington World of Adventures Resort,Chessington,Family Theme Park,3.6,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3797,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11788,2095,1189,2704,3296,2504,4440,1518,1698,2741,489,3949,7298,0.1777231082456735,0.1008652867322701,0.2293858160841533,0.2796063793688497,0.2124194095690532,0.3418918918918919,0.3824324324324324,0.6175675675675676,0.8898152320865255,1522.2,0.8047193736905943
E02003450,Wokingham 012,England,51.41607,-0.93769,4,Mainstream Affluent Suburban Markets,97.5,4,0.9995869475423379,0.9885737885462555,1.0,0.9326423432750223,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,12.7,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,12.7,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 3 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,3,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort,4244,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,13189,2761,1305,4279,3206,1638,5013,1926,1852,3161,453,4559,8258,0.2093411175979983,0.0989460914398362,0.3244370308590492,0.2430813556751838,0.1241944044279323,0.38420107719928187,0.3694394574107321,0.630560542589268,0.9096169193934556,1809.7,0.7271926734765762
E02006399,Runnymede 007,England,51.37477,-0.50317,4,Mainstream Affluent Suburban Markets,97.5,5,0.9994492633897838,0.9710214757709251,1.0,0.955430931732526,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,8.0,Thorpe Park,Thorpe Park,Thrill Theme Park,2.5,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3947,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12268,2300,1131,3631,3089,2117,5116,1631,2358,2759,650,4466,6341,0.1874796217802412,0.0921910661884577,0.2959732637756765,0.2517932833387675,0.1725627649168568,0.3188037529319781,0.4609069585613761,0.5390930414386239,0.8729476153244723,1877.7,0.64167172637118
E02006882,Harrow 033,England,51.59156,-0.31332,4,Mainstream Affluent Suburban Markets,97.3,6,0.9993115792372298,0.9969713656387665,1.0,0.9143976447808129,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,16.8,Madame Tussauds London,Madame Tussauds,Urban Icon Attraction,8.2,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,4622,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,14395,2346,1611,4280,3566,2592,4397,1506,2241,2158,659,3737,6378,0.1629732546022924,0.111913858978812,0.2973254602292463,0.2477249044807224,0.1800625217089267,0.3425062542642711,0.5096656811462361,0.4903343188537639,0.850090991810737,6763.8,0.5528779472954231
E02006925,Redbridge 036,England,51.58409,0.053548,4,Mainstream Affluent Suburban Markets,97.3,7,0.9991738950846758,0.9971090308370044,1.0,0.9133803591969556,0.95,Shrek's Adventure! - Family Discovery Attraction,Shrek's Adventure! London,Shrek's Adventure!,Family Discovery Attraction,9.4,London Eye,London Eye,Urban Icon Attraction,9.4,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 7 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,7,Thorpe Park; Chessington World of Adventures Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,4630,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,14420,2473,2193,3947,3637,2170,4187,1739,2190,1998,634,3554,8151,0.171497919556172,0.1520804438280166,0.2737170596393897,0.2522191400832178,0.1504854368932038,0.41533317411034154,0.5230475280630523,0.4769524719369477,0.8486150907354346,5788.4,0.680952380952381
E02000787,Richmond upon Thames 004,England,51.46775,-0.28511,4,Mainstream Affluent Suburban Markets,97.2,8,0.9990362109321217,0.9643447136563876,1.0,0.9536675688090379,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,8.4,Madame Tussauds London,Madame Tussauds,Urban Icon Attraction,6.7,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3877,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12086,2360,985,4035,3173,1533,5173,1685,2056,3118,1598,3575,8127,0.1952672513652159,0.0814992553367532,0.3338573556180705,0.2625351646533179,0.1268409730266424,0.32572975062826215,0.39744828919389136,0.6025517108061087,0.6910883433210903,6867.4,0.788569765185329
E02003688,Buckinghamshire 053,England,51.60788,-0.63794,4,Mainstream Affluent Suburban Markets,97.1,9,0.9988985267795677,0.9693006607929515,1.0,0.9457539906346921,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,10.0,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,10.0,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3920,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12234,2381,1180,2657,3532,2484,4883,1616,1862,3018,554,4327,7496,0.194621546509727,0.0964525094000327,0.2171816249795651,0.2887036128821317,0.2030407062285434,0.33094409174687694,0.38132295719844356,0.6186770428015564,0.886498668305675,622.5,0.7911345646437995
E02005204,Fylde 002,England,53.78466,-2.89734,4,Mainstream Affluent Suburban Markets,96.9,10,0.9987608426270136,0.9779735682819384,1.0,0.9272658892633081,0.95,SEA LIFE - Family Discovery Attraction,SEA LIFE Blackpool,SEA LIFE,Family Discovery Attraction,6.7,SEA LIFE Blackpool,SEA LIFE,Family Discovery Attraction,6.7,Annual pass,Annual pass,High-opportunity MSOA within 30 miles of the recommended attraction.,"Promote annual pass value, repeat-visit benefits and in-attraction upsell opportunities.",True,False,False,1,SEA LIFE Blackpool,4022,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12577,2089,1245,3112,3590,2541,5559,1517,2636,2924,926,4630,5747,0.1660968434443826,0.0989902202433012,0.2474357954997217,0.2854416792557843,0.20203546155681,0.27289080769922647,0.4741860046771002,0.5258139953228997,0.8333333333333334,868.2,0.5876278118609407
